time,open,high,low,close,volume,trade
2018-06-30,434.77000000,463.15000000,434.51000000,454.09000000,157169.20242000,84447.23839000
2018-07-01,454.20000000,457.77000000,443.73000000,452.10000000,111226.62846000,58019.06401000
2018-07-02,452.14000000,481.83000000,444.16000000,476.25000000,182585.11018000,103107.08134000
2018-07-03,476.32000000,486.98000000,457.00000000,461.82000000,186954.55478000,100598.37695000
2018-07-04,461.78000000,482.70000000,458.02000000,467.38000000,101886.20199000,56616.48256000
2018-07-05,467.19000000,480.00000000,458.80000000,467.87000000,125806.00830000,68023.88405000
2018-07-06,467.79000000,476.00000000,451.29000000,470.47000000,100428.64802000,50022.13364000
2018-07-07,470.48000000,487.99000000,461.50000000,485.57000000,83629.95382000,44789.14274000
2018-07-08,485.57000000,495.98000000,482.05000000,486.77000000,144703.13626000,72900.66177000
2018-07-09,486.55000000,488.98000000,468.20000000,471.71000000,89532.14109000,42046.28842000
2018-07-10,471.73000000,473.23000000,427.69000000,432.48000000,173640.97620000,86136.91190000
2018-07-11,432.55000000,452.69000000,424.20000000,444.99000000,159022.59726000,85990.23185000
2018-07-12,444.99000000,445.36000000,416.94000000,431.14000000,181877.07924000,101290.82828000
2018-07-13,431.14000000,442.47000000,424.62000000,432.46000000,150320.32532000,81371.87673000
2018-07-14,432.43000000,440.00000000,428.26000000,433.19000000,122253.69397000,72906.83361000
2018-07-15,433.20000000,455.00000000,430.52000000,449.78000000,140415.27048000,83636.14838000
2018-07-16,449.79000000,480.57000000,444.03000000,478.49000000,172440.71343000,99228.45035000
2018-07-17,478.49000000,512.00000000,465.29000000,498.76000000,215318.06761000,118908.05146000
2018-07-18,498.89000000,515.47000000,468.01000000,479.41000000,236137.80710000,122445.16627000
2018-07-19,479.40000000,484.15000000,462.57000000,468.57000000,171308.06705000,97244.90030000
2018-07-20,468.70000000,471.02000000,440.00000000,449.04000000,160873.38244000,81057.29032000
2018-07-21,449.04000000,468.97000000,441.18000000,460.23000000,74259.64067000,37303.33186000
2018-07-22,460.23000000,472.20000000,454.19000000,457.47000000,60684.89595000,28621.80676000
2018-07-23,457.47000000,469.82000000,447.11000000,450.05000000,106561.46081000,51980.77017000
2018-07-24,450.05000000,484.27000000,448.47000000,479.28000000,158286.75900000,76360.60296000
2018-07-25,479.24000000,485.77000000,464.00000000,472.10000000,170475.54936000,94194.88985000
2018-07-26,472.11000000,485.00000000,460.00000000,462.64000000,173976.21920000,95773.24069000
2018-07-27,462.17000000,474.00000000,455.84000000,470.09000000,198304.79211000,113018.96187000
2018-07-28,470.09000000,472.00000000,460.82000000,469.29000000,156862.59361000,89123.41730000
2018-07-29,468.44000000,472.00000000,461.60000000,466.40000000,138747.56334000,84060.13513000
2018-07-30,466.40000000,469.79000000,446.10000000,456.23000000,179581.79415000,102539.77663000
2018-07-31,456.19000000,457.30000000,427.00000000,432.22000000,214913.57229000,118282.94441000
2018-08-01,432.20000000,434.99000000,406.55000000,420.41000000,209570.08440000,115837.44289000
2018-08-02,420.37000000,425.52000000,407.43000000,410.62000000,178421.10672000,105752.67959000
2018-08-03,410.62000000,420.01000000,396.61000000,417.52000000,201156.61154000,114911.02628000
2018-08-04,417.58000000,419.53000000,401.86000000,407.21000000,179498.57515000,96430.98330000
2018-08-05,407.21000000,413.24000000,400.16000000,408.79000000,158913.77206000,91537.60835000
2018-08-06,408.77000000,413.28000000,397.08000000,405.28000000,166496.42465000,97590.22740000
2018-08-07,405.19000000,412.76000000,369.19000000,378.21000000,207706.11078000,113801.12912000
2018-08-08,378.20000000,380.42000000,347.25000000,355.48000000,275047.10788000,144570.45535000
2018-08-09,355.48000000,369.90000000,350.51000000,363.30000000,244268.20567000,145454.80592000
2018-08-10,363.21000000,365.87000000,325.95000000,331.81000000,264274.13378000,153430.86397000
2018-08-11,331.88000000,332.98000000,304.45000000,317.69000000,335634.67243000,190429.83797000
2018-08-12,317.49000000,327.13000000,313.42000000,317.89000000,135524.79994000,72044.60895000
2018-08-13,317.96000000,321.99000000,280.68000000,283.81000000,307713.22214000,170319.23908000
2018-08-14,283.81000000,283.81000000,250.00000000,278.41000000,485174.37541000,256386.28026000
2018-08-15,278.47000000,304.45000000,276.30000000,281.12000000,438620.64156000,237497.51747000
2018-08-16,281.46000000,298.60000000,277.55000000,287.17000000,235665.25510000,128676.26081000
2018-08-17,286.84000000,318.00000000,285.00000000,317.51000000,342556.46068000,198067.38404000
2018-08-18,317.51000000,321.33000000,281.79000000,294.11000000,384021.38829000,220483.98287000
2018-08-19,294.10000000,307.40000000,288.20000000,299.42000000,288483.44841000,162261.59844000
2018-08-20,299.30000000,304.04000000,269.50000000,270.51000000,219153.78936000,107455.93470000
2018-08-21,270.51000000,285.90000000,269.70000000,281.21000000,224701.57671000,126787.10956000
2018-08-22,281.09000000,298.89000000,259.50000000,270.80000000,403936.78303000,218966.93214000
2018-08-23,270.68000000,280.30000000,267.55000000,275.99000000,277304.60909000,158898.27378000
2018-08-24,276.06000000,283.10000000,270.22000000,281.19000000,271850.21373000,158416.07588000
2018-08-25,281.05000000,282.71000000,275.99000000,277.55000000,253375.49477000,157791.24933000
2018-08-26,277.54000000,277.91000000,268.69000000,274.29000000,232525.94970000,133025.57261000
2018-08-27,274.17000000,288.15000000,271.59000000,287.71000000,281020.64727000,156547.23734000
2018-08-28,287.71000000,298.00000000,282.66000000,295.44000000,318323.28971000,173036.52810000
2018-08-29,295.44000000,297.00000000,283.55000000,288.40000000,324275.47324000,182459.57660000
2018-08-30,288.35000000,291.00000000,271.88000000,283.89000000,336993.14413000,191694.71097000
2018-08-31,283.90000000,289.00000000,276.59000000,281.41000000,302663.37038000,187469.06740000
2018-09-01,281.46000000,302.00000000,281.34000000,295.71000000,294944.44010000,163908.01119000
